Estado;Municipio;Parroquia;Sector
Miranda;Guaicaipuro;Cecilio Acosta;SAN JOSE
Miranda;Guaicaipuro;Cecilio Acosta;SAN RAFAEL
Miranda;Guaicaipuro;Cecilio Acosta;VISTA HERMOSA
Miranda;Guaicaipuro;Los Teques;23 DE ENERO
Miranda;Guaicaipuro;Los Teques;ALBERTO RAVELL
Miranda;Guaicaipuro;Los Teques;ALTO VERDE
Miranda;Guaicaipuro;Los Teques;AQUILES NAZOA
Miranda;Guaicaipuro;Los Teques;BARRIO LA CRUZ
Miranda;Guaicaipuro;Los Teques;BARRIO MIRANDA I
Miranda;Guaicaipuro;Los Teques;BARRIO MIRANDA II
Miranda;Guaicaipuro;Los Teques;BARRIO VENEZUELA
Miranda;Guaicaipuro;Los Teques;BRISAS DE PALO ALTO
Miranda;Guaicaipuro;Los Teques;BUENOS AIRES
Miranda;Guaicaipuro;Los Teques;C.C ALI PRIMERA
Miranda;Guaicaipuro;Los Teques;C.C. VASCONIA
Miranda;Guaicaipuro;Los Teques;CARRETERA VIEJA CARACAS LOS TEQUES
Miranda;Guaicaipuro;Los Teques;CENTRO LOS TEQUES
Miranda;Guaicaipuro;Los Teques;CLUB HIPICO
Miranda;Guaicaipuro;Los Teques;COLINAS DEL ANGEL
Miranda;Guaicaipuro;Los Teques;COLINAS DEL PASO
Miranda;Guaicaipuro;Los Teques;COOPERATIVA GUAICAIPURO
Miranda;Guaicaipuro;Los Teques;CUMBRE ROJAS
Miranda;Guaicaipuro;Los Teques;EL AYACUCHO
Miranda;Guaicaipuro;Los Teques;EL BARBECHO
Miranda;Guaicaipuro;Los Teques;EL BOSQUE
Miranda;Guaicaipuro;Los Teques;EL CABOTAJE
Miranda;Guaicaipuro;Los Teques;EL ENCANTO
Miranda;Guaicaipuro;Los Teques;EL NACIONAL
Miranda;Guaicaipuro;Los Teques;EL PANADERO
Miranda;Guaicaipuro;Los Teques;EL PASO
Miranda;Guaicaipuro;Los Teques;EL PUEBLO
Miranda;Guaicaipuro;Los Teques;EL PUINKY
Miranda;Guaicaipuro;Los Teques;EL RETEN
Miranda;Guaicaipuro;Los Teques;EL RINCON
Miranda;Guaicaipuro;Los Teques;EL TAMBOR
Miranda;Guaicaipuro;Los Teques;EL TRABUCO
Miranda;Guaicaipuro;Los Teques;EL TRIGO
Miranda;Guaicaipuro;Los Teques;EL VIGIA
Miranda;Guaicaipuro;Los Teques;GUAREMAL
Miranda;Guaicaipuro;Los Teques;HOSPITAL VICTORINO SANTAELLA
Miranda;Guaicaipuro;Los Teques;JOSE GREGORIO
Miranda;Guaicaipuro;Los Teques;LA ESTRELLA
Miranda;Guaicaipuro;Los Teques;LA FONTANERA
Miranda;Guaicaipuro;Los Teques;LA MATICA
Miranda;Guaicaipuro;Los Teques;LA QUINTA
Miranda;Guaicaipuro;Los Teques;LAGUNETICA
Miranda;Guaicaipuro;Los Teques;LAS CADENAS
Miranda;Guaicaipuro;Los Teques;LOS ALPES
Miranda;Guaicaipuro;Los Teques;LOS AMARILLOS
Miranda;Guaicaipuro;Los Teques;LOS BARRIALES
Miranda;Guaicaipuro;Los Teques;LOS CERRITOS
Miranda;Guaicaipuro;Los Teques;LOS LAGOS
Miranda;Guaicaipuro;Los Teques;LOS MANGOS
Miranda;Guaicaipuro;Los Teques;MACARENA SUR
Miranda;Guaicaipuro;Los Teques;MAL PASO
Miranda;Guaicaipuro;Los Teques;MANUELA SAENZ
Miranda;Guaicaipuro;Los Teques;PALO ALTO
Miranda;Guaicaipuro;Los Teques;PUNTA BRAVA
Miranda;Guaicaipuro;Los Teques;QUEBRADA LA VIRGEN
Miranda;Guaicaipuro;Los Teques;RAMO VERDE
Miranda;Guaicaipuro;Los Teques;RES. ALDEBARAN
Miranda;Guaicaipuro;Los Teques;RES. CARACAS
Miranda;Guaicaipuro;Los Teques;RES. EL CHORRITO
Miranda;Guaicaipuro;Los Teques;RES. ESCORPIO
Miranda;Guaicaipuro;Los Teques;RES. IMOLA
Miranda;Guaicaipuro;Los Teques;RES. KNOOP
Miranda;Guaicaipuro;Los Teques;RES. LA CIMA
Miranda;Guaicaipuro;Los Teques;RES. LAGUNETICA
Miranda;Guaicaipuro;Los Teques;RES. MIRACIELOS
Miranda;Guaicaipuro;Los Teques;RES. MIRAFLORES
Miranda;Guaicaipuro;Los Teques;RES. PARQUE LAS AMERICAS
Miranda;Guaicaipuro;Los Teques;RES. RIO ARRIBA
Miranda;Guaicaipuro;Los Teques;RES. SANTA MARIA
Miranda;Guaicaipuro;Los Teques;RES. TAMARI
Miranda;Guaicaipuro;Los Teques;RES. TINANTONIA
Miranda;Guaicaipuro;Los Teques;RES. TIUNA
Miranda;Guaicaipuro;Los Teques;RES. TRIGO DORADO
Miranda;Guaicaipuro;Los Teques;RES. YATI
Miranda;Guaicaipuro;Los Teques;RETAMAL
Miranda;Guaicaipuro;Los Teques;ROMULO GALLEGOS
Miranda;Guaicaipuro;Los Teques;SAN OMERO
Miranda;Guaicaipuro;Los Teques;SANTA EDUVIGES
Miranda;Guaicaipuro;Los Teques;SANTA EULALIA
Miranda;Guaicaipuro;Los Teques;SANTA ROSA
Miranda;Guaicaipuro;Los Teques;SOLAR DE LA QUINTA
Miranda;Guaicaipuro;Los Teques;URB. SIMON BOLIVAR
Miranda;Guaicaipuro;Los Teques;VALLE ALTO
Miranda;Guaicaipuro;Los Teques;ZONA INDUSTRIAL EL TAMBOR
Miranda;Guaicaipuro;San Pedro de los Altos;BOSQUE DE PINOS
Miranda;Guaicaipuro;San Pedro de los Altos;EL PUEBLO
Miranda;Guaicaipuro;San Pedro de los Altos;POZO DE ROSAS
Miranda;Guaicaipuro;San Pedro de los Altos;SAN PEDRO
Miranda;Los salias;San antonio de los altos;AGUA LINDA
Miranda;Los salias;San antonio de los altos;ARBOLEDA
Miranda;Los salias;San antonio de los altos;BOSQUE ALEGRE
Miranda;Los salias;San antonio de los altos;C.C GALERIA LAS AMERICAS
Miranda;Los salias;San antonio de los altos;C.C LA COLINA
Miranda;Los salias;San antonio de los altos;C.C. CEPAN
Miranda;Los salias;San antonio de los altos;C.C. CLUB DE CAMPO
Miranda;Los salias;San antonio de los altos;C.C. DON BLAS
Miranda;Los salias;San antonio de los altos;C.C. LA CASONA 2
Miranda;Los salias;San antonio de los altos;EL AMARILLO
Miranda;Los salias;San antonio de los altos;EL PARAMO
Miranda;Los salias;San antonio de los altos;EL PUEBLO
Miranda;Los salias;San antonio de los altos;CLUB DE CAMPO
Miranda;Los salias;San antonio de los altos;EL RETIRO
Miranda;Los salias;San antonio de los altos;EL SITIO
Miranda;Los salias;San antonio de los altos;KM 18
Miranda;Los salias;San antonio de los altos;KM 8
Miranda;Los salias;San antonio de los altos;LA GONZALERA
Miranda;Los salias;San antonio de los altos;LA GUADALUPE
Miranda;Los salias;San antonio de los altos;LA MORITA
Miranda;Los salias;San antonio de los altos;LA OVEJA NEGRA
Miranda;Los salias;San antonio de los altos;LA ROSALEDA
Miranda;Los salias;San antonio de los altos;LAS CUMBRES
Miranda;Los salias;San antonio de los altos;LAS MINAS
Miranda;Los salias;San antonio de los altos;LAS POLONIAS
Miranda;Los salias;San antonio de los altos;LOS CASTORES
Miranda;Los salias;San antonio de los altos;LOS HELECHOS
Miranda;Los salias;San antonio de los altos;LOS LLANEROS
Miranda;Los salias;San antonio de los altos;RES. EL ROCIO
Miranda;Los salias;San antonio de los altos;RES. LAS CHURUATAS
Miranda;Los salias;San antonio de los altos;RES. OPS
Miranda;Los salias;San antonio de los altos;RES. SAN ANTONIO
Miranda;Los salias;San antonio de los altos;SIERRA BRAVA
Miranda;Los salias;San antonio de los altos;ZONA INDUSTRIAL LAS MINAS
